name,prefecture,city,location_raw,url,mola_star,lat,lng,has_elephant,has_giraffe,has_lion,has_tiger,has_panda,has_gorilla,has_hippo,has_koala,has_polar_bear,has_red_panda,is_closed,closed_at
札幌市円山動物園,北海道,札幌市中央区,,http://www.city.sapporo.jp/zoo/,0,43.0487514,141.306127,True,True,True,True,False,False,True,False,True,True,False,
旭川市旭山動物園,北海道,旭川市,,https://www.city.asahikawa.hokkaido.jp/asahiyamazoo/,0,43.7686424,142.4792729,False,True,True,True,False,False,True,False,True,True,False,
おびひろ動物園,北海道,帯広市,,https://www.city.obihiro.hokkaido.jp/zoo/,0,42.9015173,143.1841989,False,True,True,True,False,False,False,False,True,False,False,
釧路市動物園,北海道,釧路市,,http://www.city.kushiro.lg.jp/zoo/,0,43.0826092,144.234497,False,True,True,True,False,False,False,False,False,True,False,
弘前市弥生いこいの広場,青森県,弘前市,,http://www.hirosakipark.or.jp/yayoi/,0,,,False,False,False,False,False,False,False,False,False,False,False,
秋田市大森山動物園,秋田県,秋田市,,https://www.city.akita.lg.jp/zoo/index.html,0,39.6711888,140.0754095,True,True,True,True,False,False,False,False,False,True,False,
盛岡市動物公園,岩手県,盛岡市,,https://zoomo.co.jp/,0,39.6854618,141.1587481,True,True,True,True,False,False,False,False,False,False,False,
岩手サファリパーク,岩手県,一関市,,http://www.iwate-safari.jp/,0,38.810509,141.2594353,True,True,True,True,False,False,False,False,False,False,False,
仙台市八木山動物公園,宮城県,仙台市太白区,,http://www.city.sendai.jp/kensetsu/yagiyama/index.html,0,38.2457859,140.8460443,True,True,True,True,False,False,True,False,True,True,False,
宇都宮動物園,栃木県,宇都宮市,,http://www.utsunomiya-zoo.com/,0,36.6324485,139.8544994,True,True,True,True,False,False,True,False,False,False,False,
那須どうぶつ王国,栃木県,那須郡那須町,,http://www.nasu-oukoku.com/,0,37.1320456,140.0404064,False,False,False,False,False,False,False,False,False,True,False,
